Model,ICD_Code,Outcome,EQI_Period,Lag,Q1,Q2,Q3,Q4,Q5
EQI_Land,C25,Pancreatic Cancer,2006_2010,5,0.0,"0.92(0.53,1.31)***","1.06(0.66,1.45)***","1.23(0.82,1.67)***","1.59(1.15,2.03)***"
EQI_Land,C25,Pancreatic Cancer,2006_2010,10,0.0,"0.90(0.49,1.31)***","1.05(0.64,1.47)***","1.43(0.97,1.88)***","1.87(1.41,2.33)***"
EQI_Land,C61,Prostate Cancer,2006_2010,5,0.0,"0.23(-0.12,0.58)","0.58(0.21,0.95)***","0.71(0.31,1.11)**","1.11(0.71,1.54)***"
EQI_Land,C61,Prostate Cancer,2006_2010,10,0.0,"0.10(-0.27,0.45)","0.17(-0.20,0.54)","0.34(-0.06,0.71)","0.78(0.39,1.17)***"
EQI_Built,C00_C97,All-site Cancer,2000_2005,5,0.0,"4.14(1.93,6.29)***","4.41(2.14,6.58)***","4.85(2.60,7.08)***","6.23(3.92,8.44)***"
EQI_Built,C00_C97,All-site Cancer,2000_2005,10,0.0,"5.09(2.83,7.28)***","6.20(3.98,8.47)***","6.29(3.97,8.56)***","8.03(5.63,10.35)***"
EQI_Built,C00_C97,All-site Cancer,2000_2005,15,0.0,"5.87(3.79,8.00)***","6.18(4.09,8.31)***","5.81(3.64,7.96)***","5.90(3.68,8.17)***"
EQI_Built,C34,Lung Cancer,2000_2005,5,0.0,"4.37(3.04,5.72)***","3.63(2.28,5.01)***","4.04(2.63,5.47)***","3.99(2.55,5.46)***"
EQI_Built,C34,Lung Cancer,2000_2005,10,0.0,"3.99(2.79,5.19)***","3.88(2.62,5.13)***","3.64(2.36,4.84)***","4.01(2.68,5.30)***"
EQI_Built,C34,Lung Cancer,2000_2005,15,0.0,"3.62(2.60,4.61)***","3.97(2.93,5.01)***","3.01(1.94,4.07)***","3.26(2.14,4.35)***"
EQI_Built,C18_C21,Colorectal Cancer,2000_2005,5,0.0,"2.03(1.39,2.66)***","2.49(1.86,3.12)***","2.60(1.95,3.23)***","2.57(1.91,3.24)***"
EQI_Built,C18_C21,Colorectal Cancer,2000_2005,10,0.0,"2.29(1.72,2.90)***","2.34(1.75,2.94)***","2.57(1.98,3.16)***","2.70(2.08,3.33)***"
EQI_Built,C18_C21,Colorectal Cancer,2000_2005,15,0.0,"2.54(1.98,3.11)***","2.60(2.03,3.14)***","2.53(1.97,3.10)***","2.51(1.91,3.09)***"
EQI_Built,C50,Breast Cancer,2000_2005,5,0.0,"1.47(0.99,1.95)***","1.73(1.24,2.23)***","2.06(1.57,2.55)***","2.30(1.78,2.80)***"
EQI_Built,C50,Breast Cancer,2000_2005,10,0.0,"2.23(1.79,2.65)***","2.51(2.07,2.96)***","3.06(2.60,3.51)***","3.35(2.88,3.83)***"
EQI_Built,C50,Breast Cancer,2000_2005,15,0.0,"1.61(1.18,2.03)***","1.72(1.29,2.15)***","2.23(1.78,2.65)***","2.35(1.89,2.79)***"
EQI_Built,C25,Pancreatic Cancer,2000_2005,5,0.0,"1.86(1.43,2.30)***","2.01(1.58,2.44)***","2.21(1.78,2.64)***","2.45(1.98,2.91)***"
EQI_Built,C25,Pancreatic Cancer,2000_2005,10,0.0,"1.58(1.16,2.00)***","1.91(1.51,2.33)***","1.95(1.54,2.37)***","2.22(1.79,2.64)***"
EQI_Built,C25,Pancreatic Cancer,2000_2005,15,0.0,"1.48(1.04,1.91)***","1.74(1.29,2.18)***","1.76(1.30,2.19)***","2.00(1.54,2.46)***"
EQI_Built,C61,Prostate Cancer,2000_2005,5,0.0,"2.08(1.63,2.51)***","1.72(1.28,2.16)***","1.74(1.30,2.19)***","1.77(1.31,2.24)***"
EQI_Built,C61,Prostate Cancer,2000_2005,10,0.0,"1.60(1.20,1.97)***","1.74(1.35,2.13)***","1.65(1.26,2.05)***","1.90(1.50,2.32)***"
EQI_Built,C61,Prostate Cancer,2000_2005,15,0.0,"0.98(0.61,1.36)***","1.32(0.93,1.71)***","1.53(1.13,1.92)***","1.54(1.14,1.94)***"
EQI_Built,C00_C97,All-site Cancer,2006_2010,5,0.0,"1.33(-0.93,3.58)","1.18(-1.21,3.52)","-1.34(-3.83,1.05)","-4.11(-6.60,-1.64)***"
EQI_Built,C00_C97,All-site Cancer,2006_2010,10,0.0,"1.52(-0.60,3.59)","0.55(-1.60,2.78)","-0.85(-3.14,1.35)","-4.01(-6.22,-1.77)***"
EQI_Built,C34,Lung Cancer,2006_2010,5,0.0,"-0.03(-1.25,1.26)","-0.36(-1.65,0.96)","0.07(-1.23,1.39)","-1.18(-2.53,0.16)"
EQI_Built,C34,Lung Cancer,2006_2010,10,0.0,"0.18(-0.83,1.22)","0.15(-0.93,1.23)","0.42(-0.69,1.50)","-0.35(-1.50,0.80)"
EQI_Built,C18_C21,Colorectal Cancer,2006_2010,5,0.0,"0.30(-0.32,0.92)","0.00(-0.62,0.63)","-0.23(-0.89,0.42)","-0.82(-1.46,-0.17)*"
EQI_Built,C18_C21,Colorectal Cancer,2006_2010,10,0.0,"0.46(-0.12,1.02)","0.40(-0.19,0.99)","0.16(-0.44,0.78)","-0.18(-0.78,0.44)"
EQI_Built,C50,Breast Cancer,2006_2010,5,0.0,"0.53(0.06,1.00)*","0.33(-0.18,0.84)","-0.15(-0.66,0.36)","-0.69(-1.21,-0.17)**"
EQI_Built,C50,Breast Cancer,2006_2010,10,0.0,"0.95(0.48,1.41)***","0.57(0.08,1.06)*","0.18(-0.31,0.69)","0.05(-0.45,0.53)"
EQI_Built,C25,Pancreatic Cancer,2006_2010,5,0.0,"0.10(-0.34,0.55)","-0.19(-0.66,0.25)","-0.21(-0.68,0.26)","-0.40(-0.88,0.08)"
