Outcome,5 Deaths,5 AAMR,10 Deaths,10 AAMR,15 Deaths,15 AAMR
Colorectal Cancer,"10,756 (0.20‰)",17.64 ± 0.17,"10,970 (0.20‰)",16.23 ± 0.16,"11,479 (0.20‰)",15.49 ± 0.15
Breast Cancer,"7,187 (0.13‰)",11.82 ± 0.14,"7,315 (0.13‰)",10.97 ± 0.13,"7,443 (0.13‰)",10.29 ± 0.12
Pancreatic Cancer,"6,410 (0.12‰)",10.41 ± 0.13,"7,220 (0.13‰)",10.52 ± 0.12,"8,283 (0.15‰)",10.87 ± 0.12
Prostate Cancer,"5,837 (0.11‰)",9.75 ± 0.13,"5,710 (0.10‰)",8.43 ± 0.11,"6,315 (0.11‰)",8.25 ± 0.10
EQI Q2,,,,,,
All-site Cancer,"216,142 (2.23‰)",182.78 ± 0.40,"223,627 (2.25‰)",171.63 ± 0.37,"230,706 (2.26‰)",159.40 ± 0.34
Lung Cancer,"67,763 (0.70‰)",56.38 ± 0.22,"67,196 (0.68‰)",50.55 ± 0.20,"62,533 (0.61‰)",42.01 ± 0.17
Colorectal Cancer,"20,130 (0.21‰)",17.12 ± 0.12,"20,606 (0.21‰)",15.97 ± 0.11,"20,980 (0.21‰)",14.84 ± 0.11
Breast Cancer,"13,659 (0.14‰)",11.79 ± 0.10,"14,035 (0.14‰)",11.11 ± 0.10,"14,698 (0.14‰)",10.65 ± 0.09
Pancreatic Cancer,"12,604 (0.13‰)",10.57 ± 0.09,"14,103 (0.14‰)",10.69 ± 0.09,"15,990 (0.16‰)",10.90 ± 0.09
Prostate Cancer,"10,792 (0.11‰)",9.13 ± 0.09,"10,343 (0.10‰)",7.84 ± 0.08,"11,245 (0.11‰)",7.52 ± 0.07
EQI Q3,,,,,,
All-site Cancer,"374,287 (2.07‰)",182.78 ± 0.30,"388,915 (2.08‰)",171.00 ± 0.28,"400,430 (2.08‰)",157.54 ± 0.25
Lung Cancer,"111,382 (0.62‰)",53.93 ± 0.16,"110,903 (0.59‰)",48.11 ± 0.15,"102,764 (0.53‰)",39.51 ± 0.12
Colorectal Cancer,"35,238 (0.20‰)",17.26 ± 0.09,"34,934 (0.19‰)",15.48 ± 0.08,"35,936 (0.19‰)",14.42 ± 0.08
Breast Cancer,"25,274 (0.14‰)",12.43 ± 0.08,"25,791 (0.14‰)",11.54 ± 0.07,"26,709 (0.14‰)",10.91 ± 0.07
Pancreatic Cancer,"22,094 (0.12‰)",10.74 ± 0.07,"25,072 (0.13‰)",10.92 ± 0.07,"28,550 (0.15‰)",11.08 ± 0.07
Prostate Cancer,"18,988 (0.11‰)",9.34 ± 0.07,"18,435 (0.10‰)",8.10 ± 0.06,"20,384 (0.11‰)",7.90 ± 0.06
EQI Q4,,,,,,
All-site Cancer,"523,453 (2.01‰)",182.68 ± 0.25,"542,328 (2.00‰)",171.12 ± 0.24,"552,022 (1.98‰)",156.93 ± 0.21
Lung Cancer,"150,338 (0.58‰)",52.32 ± 0.14,"149,769 (0.55‰)",46.85 ± 0.12,"137,060 (0.49‰)",38.18 ± 0.10
Colorectal Cancer,"49,860 (0.19‰)",17.39 ± 0.08,"48,722 (0.18‰)",15.45 ± 0.07,"49,173 (0.18‰)",14.21 ± 0.07
Breast Cancer,"37,259 (0.14‰)",13.02 ± 0.07,"36,941 (0.14‰)",11.79 ± 0.06,"38,075 (0.14‰)",11.12 ± 0.06
Pancreatic Cancer,"31,885 (0.12‰)",11.08 ± 0.06,"35,748 (0.13‰)",11.20 ± 0.06,"40,038 (0.14‰)",11.26 ± 0.06
Prostate Cancer,"26,389 (0.10‰)",9.25 ± 0.06,"25,505 (0.09‰)",8.05 ± 0.05,"28,243 (0.10‰)",7.97 ± 0.05
EQI Q5,,,,,,
All-site Cancer,"1,602,736 (1.73‰)",172.40 ± 0.14,"1,658,459 (1.71‰)",158.35 ± 0.12,"1,694,041 (1.69‰)",143.80 ± 0.11
Lung Cancer,"429,781 (0.46‰)",46.58 ± 0.07,"419,344 (0.43‰)",40.13 ± 0.06,"379,829 (0.38‰)",31.93 ± 0.05
Colorectal Cancer,"149,123 (0.16‰)",16.00 ± 0.04,"146,388 (0.15‰)",13.94 ± 0.04,"147,886 (0.15‰)",12.62 ± 0.03
Breast Cancer,"122,013 (0.13‰)",12.88 ± 0.04,"123,506 (0.13‰)",11.68 ± 0.03,"125,707 (0.13‰)",10.78 ± 0.03
Pancreatic Cancer,"102,139 (0.11‰)",10.98 ± 0.03,"114,817 (0.12‰)",10.92 ± 0.03,"131,296 (0.13‰)",11.05 ± 0.03
Prostate Cancer,"80,524 (0.09‰)",8.83 ± 0.03,"80,021 (0.08‰)",7.76 ± 0.03,"90,415 (0.09‰)",7.73 ± 0.03
