Model	Lag	Q1	Q2	Q3	Q4	Q5
Water	5	0.0	-2.42(-8.89,4.08)	-0.27(-6.42,5.78)	8.31(2.71,14.03)	6.36(0.69,11.91)
Water	10	0.0	-4.61(-11.18,1.89)	1.85(-4.41,8.21)	8.34(2.14,14.33)	7.55(1.53,13.62)
Water	15	0.0	-2.08(-8.39,4.17)	4.54(-1.45,10.77)	5.14(-0.93,11.38)	8.20(2.02,14.37)
Land	5	0.0	5.22(-0.76,11.34)	2.64(-2.89,8.26)	3.66(-2.13,9.46)	5.12(-1.14,11.34)
Land	10	0.0	4.83(-1.20,11.03)	1.83(-3.83,7.57)	3.43(-2.63,9.42)	7.72(1.19,14.23)
Land	15	0.0	3.77(-2.35,9.96)	2.05(-3.38,7.66)	4.60(-1.20,10.28)	7.36(1.10,13.76)
Built	5	0.0	1.30(-4.20,6.81)	5.28(-0.53,10.89)	5.57(-0.01,11.21)	6.15(0.38,11.94)
Built	10	0.0	5.09(-0.31,10.80)	5.33(-0.29,11.03)	4.52(-1.19,10.17)	7.56(2.09,13.27)
Built	15	0.0	5.48(0.22,10.79)	8.01(2.51,13.73)	5.74(0.55,11.08)	8.11(2.39,13.94)
Social	5	0.0	1.48(-3.98,6.76)	3.57(-1.72,8.89)	3.26(-2.37,8.71)	7.07(-0.13,14.10)
Social	10	0.0	0.30(-5.04,5.53)	4.34(-1.18,9.78)	4.84(-0.63,10.62)	7.80(0.81,14.64)
Social	15	0.0	-1.80(-7.08,3.22)	2.15(-3.13,7.25)	5.06(-0.44,10.46)	7.07(0.50,13.77)
Köppen-Geiger Climate Zone: Temperate
EQI	5	0.0	6.54(4.28,8.81)	11.97(9.62,14.30)	16.40(13.92,18.92)	22.49(19.66,25.39)
EQI	10	0.0	6.42(4.08,8.76)	10.89(8.58,13.25)	15.88(13.31,18.43)	22.34(19.43,25.35)
EQI	15	0.0	5.79(3.51,8.20)	8.87(6.48,11.23)	12.45(9.95,15.11)	17.22(14.24,20.23)
Air	5	0.0	4.08(1.00,7.12)	7.36(4.36,10.49)	11.87(8.73,15.05)	14.17(10.87,17.58)
Air	10	0.0	3.71(0.61,6.84)	8.35(5.18,11.44)	12.99(9.82,16.19)	15.28(11.89,18.77)
Air	15	0.0	2.59(-0.55,5.69)	5.94(2.79,9.12)	9.55(6.26,12.79)	10.95(7.43,14.44)
Water	5	0.0	1.14(-2.09,4.21)	1.31(-1.96,4.50)	0.51(-2.97,3.74)	1.53(-1.98,5.03)
Water	10	0.0	2.02(-1.17,5.30)	-0.21(-3.57,3.20)	2.08(-1.35,5.60)	2.56(-1.16,6.14)
Water	15	0.0	0.62(-2.60,3.90)	-2.07(-5.36,1.36)	0.44(-2.96,3.89)	1.47(-2.18,5.17)
Land	5	0.0	1.19(-0.90,3.29)	2.35(0.01,4.70)	-0.22(-3.01,2.64)	2.62(-0.78,5.89)
Land	10	0.0	0.65(-1.37,2.75)	2.46(0.15,4.80)	0.28(-2.53,3.14)	1.67(-1.79,5.12)
Land	15	0.0	0.68(-1.46,2.77)	1.87(-0.51,4.28)	1.13(-1.76,3.95)	3.98(0.37,7.55)
Built	5	0.0	2.15(-0.05,4.48)	3.90(1.59,6.32)	4.32(1.82,6.81)	4.21(1.50,6.92)
Built	10	0.0	3.55(1.35,5.81)	4.46(2.07,6.88)	4.19(1.69,6.69)	4.40(1.78,7.11)
Built	15	0.0	4.27(1.97,6.57)	4.61(2.07,7.05)	5.23(2.68,7.77)	6.35(3.49,9.17)
Social	5	0.0	5.70(3.65,7.80)	5.95(3.65,8.37)	8.85(6.20,11.54)	13.77(10.80,16.78)
