Model	Lag	Q1	Q2	Q3	Q4	Q5
Built	10	0.0	5.00(-0.26,10.08)	2.35(-3.31,8.16)	2.02(-4.26,8.48)	6.37(-0.35,13.08)
Built	15	0.0	1.86(-2.74,6.13)	2.78(-2.31,7.82)	2.41(-3.48,8.50)	2.63(-3.62,8.76)
Social	5	0.0	-1.77(-6.44,2.94)	2.33(-2.92,7.75)	5.43(-0.23,11.19)	7.38(0.36,14.21)
Social	10	0.0	2.70(-2.28,7.77)	5.90(0.30,11.53)	6.02(0.07,12.06)	5.42(-1.88,12.65)
Social	15	0.0	0.35(-3.91,4.62)	5.51(0.72,10.47)	1.58(-4.05,7.25)	2.63(-3.98,9.15)
Köppen-Geiger Climate Zone: Dry
EQI	5	0.0	2.12(-3.08,7.43)	2.55(-2.83,8.00)	5.45(-0.13,11.29)	6.62(0.23,12.73)
EQI	10	0.0	3.07(-3.12,9.16)	3.92(-2.21,9.92)	5.56(-0.84,12.04)	4.77(-2.34,11.76)
EQI	15	0.0	2.93(-2.73,8.50)	3.10(-2.32,8.53)	5.33(-0.46,10.78)	4.24(-2.05,10.66)
Air	5	0.0	-0.00(-5.09,5.25)	1.30(-4.42,7.07)	1.12(-4.66,6.95)	6.42(-0.91,13.98)
Air	10	0.0	0.17(-6.01,6.33)	0.65(-6.26,7.29)	3.02(-3.73,9.85)	5.39(-2.87,13.55)
Air	15	0.0	2.60(-2.79,7.90)	-0.35(-6.16,5.63)	2.19(-3.65,7.83)	4.09(-3.30,11.29)
Water	5	0.0	0.15(-7.07,7.55)	1.17(-5.37,7.77)	0.98(-5.23,7.02)	2.63(-3.41,8.63)
Water	10	0.0	-3.19(-10.82,4.11)	-0.13(-6.93,6.69)	0.27(-6.19,6.95)	2.14(-4.23,8.54)
Water	15	0.0	-4.65(-11.89,2.88)	6.35(-0.24,12.93)	0.14(-6.15,6.28)	3.71(-2.49,9.96)
Land	5	0.0	-0.07(-6.37,6.09)	4.31(-1.45,10.04)	5.27(-0.79,11.25)	3.74(-2.52,10.17)
Land	10	0.0	1.93(-4.97,8.72)	3.01(-3.61,9.41)	5.59(-1.17,12.33)	3.95(-3.14,10.76)
Land	15	0.0	4.43(-2.06,11.09)	2.58(-3.41,8.46)	4.14(-1.94,10.32)	2.46(-4.34,8.99)
Built	5	0.0	3.57(-2.34,9.29)	4.10(-1.68,10.04)	4.63(-1.03,10.24)	1.05(-4.66,7.00)
Built	10	0.0	5.49(-0.86,11.63)	3.62(-2.83,10.19)	4.40(-1.97,10.52)	3.45(-2.80,9.63)
Built	15	0.0	2.89(-3.07,8.87)	3.76(-2.25,9.80)	4.37(-1.27,10.10)	2.58(-3.35,8.30)
Social	5	0.0	-1.91(-7.49,3.43)	2.59(-3.03,8.06)	2.80(-3.00,8.76)	8.53(1.98,14.99)
Social	10	0.0	1.59(-4.71,7.84)	4.46(-2.02,10.96)	2.46(-3.99,8.76)	5.15(-2.14,12.46)
Social	15	0.0	2.55(-3.17,8.27)	4.00(-1.68,9.79)	0.80(-5.33,6.90)	7.41(0.65,14.45)
Köppen-Geiger Climate Zone: Temperate
EQI	5	0.0	4.34(1.57,6.97)	5.39(2.59,8.08)	6.42(3.50,9.16)	12.22(8.93,15.31)
EQI	10	0.0	4.93(2.22,7.68)	6.01(3.34,8.69)	7.95(5.23,10.72)	9.86(6.96,12.81)
EQI	15	0.0	4.27(1.72,6.77)	3.48(0.98,6.00)	4.49(1.77,7.34)	4.84(1.77,7.86)
Air	5	0.0	5.28(1.62,8.88)	7.39(3.89,10.84)	9.71(6.09,13.21)	12.99(9.35,16.66)
Air	10	0.0	6.20(2.55,9.87)	9.87(6.29,13.31)	11.24(7.54,14.77)	12.73(8.91,16.50)
Air	15	0.0	3.27(-0.39,6.85)	5.67(2.11,9.28)	8.03(4.52,11.66)	7.55(3.78,11.35)
Water	5	0.0	3.86(0.65,7.20)	0.00(-3.18,3.25)	1.86(-1.42,5.42)	2.03(-1.46,5.54)
Water	10	0.0	2.55(-0.61,5.73)	-1.90(-5.04,1.16)	2.26(-1.07,5.53)	2.54(-0.92,6.15)
Water	15	0.0	1.93(-1.27,5.01)	-1.88(-4.93,1.19)	0.71(-2.50,4.04)	1.17(-2.15,4.60)
Land	5	0.0	1.14(-1.09,3.43)	1.01(-1.46,3.44)	1.03(-1.95,3.93)	3.52(0.11,6.87)
Land	10	0.0	2.05(-0.25,4.19)	0.32(-2.14,2.82)	1.99(-0.99,4.91)	4.73(1.30,8.12)
Land	15	0.0	1.75(-0.47,3.94)	0.46(-1.95,2.90)	1.24(-1.62,4.12)	4.39(1.11,7.62)
Built	5	0.0	5.77(3.15,8.32)	6.27(3.62,8.89)	6.83(3.99,9.64)	9.39(6.47,12.30)
Built	10	0.0	4.26(1.67,6.86)	7.37(4.70,10.00)	6.44(3.71,9.12)	9.51(6.66,12.44)
