Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR
Dementia,"190,112 (0.65‰)",57.35 ± 0.13,"251,664 (0.84‰)",68.76 ± 0.14,"277,166 (0.91‰)",69.70 ± 0.13
AD,"92,073 (0.31‰)",27.85 ± 0.09,"103,516 (0.35‰)",28.41 ± 0.09,"137,316 (0.45‰)",34.64 ± 0.09
PD,"21,765 (0.07‰)",6.73 ± 0.05,"26,541 (0.09‰)",7.52 ± 0.05,"36,041 (0.12‰)",9.24 ± 0.05
VD,"9,699 (0.03‰)",2.93 ± 0.03,"13,541 (0.05‰)",3.71 ± 0.03,"18,021 (0.06‰)",4.52 ± 0.03
ALS,"6,842 (0.02‰)",2.07 ± 0.03,"7,831 (0.03‰)",2.14 ± 0.02,"7,455 (0.02‰)",1.85 ± 0.02
HD,"1,058 (0.00‰)",0.32 ± 0.01,"1,276 (0.00‰)",0.37 ± 0.01,"1,432 (0.00‰)",0.39 ± 0.01
County Economic Typology: Government,,,,,,
NDD,"105,857 (0.60‰)",65.21 ± 0.20,"139,437 (0.75‰)",74.77 ± 0.20,"153,683 (0.80‰)",72.82 ± 0.19
Dementia,"91,531 (0.52‰)",56.43 ± 0.19,"122,214 (0.66‰)",65.45 ± 0.19,"131,357 (0.68‰)",62.25 ± 0.17
AD,"42,167 (0.24‰)",26.05 ± 0.13,"49,022 (0.26‰)",26.33 ± 0.12,"67,351 (0.35‰)",32.00 ± 0.12
PD,"10,887 (0.06‰)",6.80 ± 0.07,"13,392 (0.07‰)",7.37 ± 0.06,"18,541 (0.10‰)",8.89 ± 0.07
VD,"5,774 (0.03‰)",3.55 ± 0.05,"7,852 (0.04‰)",4.20 ± 0.05,"10,102 (0.05‰)",4.77 ± 0.05
ALS,"3,439 (0.02‰)",1.98 ± 0.03,"3,831 (0.02‰)",1.96 ± 0.03,"3,785 (0.02‰)",1.68 ± 0.03
HD,532 (0.00‰),0.29 ± 0.01,563 (0.00‰),0.29 ± 0.01,608 (0.00‰),0.29 ± 0.01
County Economic Typology: Services,,,,,,
