Time_Period,ICD-10 Code,Outcome,Stratum_Type,Stratum_Value,Stratum_Label,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Cluster_k5,National,National,64034,1518958033,3.9703,0.0158,3.9396,4.0012,3.97 ± 0.02
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Cluster_k3,0,Low EQI,5765,81106909,6.2357,0.0828,6.0757,6.3987,6.24 ± 0.08
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Cluster_k3,1,Medium EQI,31117,428983518,6.4571,0.0368,6.3856,6.5292,6.46 ± 0.04
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Cluster_k3,2,High EQI,65108,1008867606,6.443,0.0254,6.3936,6.4927,6.44 ± 0.03
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Cluster_k3,National,National,101990,1518958033,6.4321,0.0202,6.3927,6.4717,6.43 ± 0.02
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Cluster_k4,0,Very Low EQI,3316,51121576,5.8341,0.1019,5.6372,6.0362,5.83 ± 0.10
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Cluster_k4,1,Low EQI,9038,125026104,6.44,0.0682,6.3079,6.5742,6.44 ± 0.07
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Cluster_k4,2,Medium EQI,29049,398153791,6.4914,0.0383,6.417,6.5665,6.49 ± 0.04
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Cluster_k4,3,High EQI,60587,944656562,6.4452,0.0263,6.394,6.4967,6.45 ± 0.03
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Cluster_k4,National,National,101990,1518958033,6.4321,0.0202,6.3927,6.4717,6.43 ± 0.02
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Cluster_k5,0,Very Low EQI,1757,29434252,5.7501,0.1377,5.4843,6.0254,5.75 ± 0.14
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Cluster_k5,1,Low EQI,1418,20495378,5.7007,0.1525,5.4078,6.0053,5.70 ± 0.15
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Cluster_k5,2,Medium EQI,28736,393303442,6.5017,0.0385,6.4267,6.5773,6.50 ± 0.04
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Cluster_k5,3,High EQI,10612,148681280,6.4529,0.0631,6.3307,6.5768,6.45 ± 0.06
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Cluster_k5,4,Very High EQI,59467,927043681,6.4438,0.0266,6.3921,6.4958,6.44 ± 0.03
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Cluster_k5,National,National,101990,1518958033,6.4321,0.0202,6.3927,6.4717,6.43 ± 0.02
2006-2010,C91_C95,Leukemia,Cluster_k3,0,Low EQI,6265,81106909,6.8631,0.0874,6.6942,7.0352,6.86 ± 0.09
2006-2010,C91_C95,Leukemia,Cluster_k3,1,Medium EQI,33501,428983518,6.9959,0.0384,6.9212,7.0712,7.00 ± 0.04
2006-2010,C91_C95,Leukemia,Cluster_k3,2,High EQI,70807,1008867606,7.0272,0.0266,6.9755,7.0792,7.03 ± 0.03
2006-2010,C91_C95,Leukemia,Cluster_k3,National,National,110573,1518958033,7.0051,0.0212,6.9639,7.0466,7.01 ± 0.02
2006-2010,C91_C95,Leukemia,Cluster_k4,0,Very Low EQI,3683,51121576,6.5328,0.1082,6.3235,6.7473,6.53 ± 0.11
2006-2010,C91_C95,Leukemia,Cluster_k4,1,Low EQI,9705,125026104,6.9673,0.0712,6.8294,7.1073,6.97 ± 0.07
2006-2010,C91_C95,Leukemia,Cluster_k4,2,Medium EQI,31310,398153791,7.045,0.04,6.9672,7.1235,7.05 ± 0.04
2006-2010,C91_C95,Leukemia,Cluster_k4,3,High EQI,65875,944656562,7.0266,0.0275,6.9731,7.0805,7.03 ± 0.03
2006-2010,C91_C95,Leukemia,Cluster_k4,National,National,110573,1518958033,7.0051,0.0212,6.9639,7.0466,7.01 ± 0.02
2006-2010,C91_C95,Leukemia,Cluster_k5,0,Very Low EQI,1825,29434252,5.9998,0.1409,5.7276,6.2815,6.00 ± 0.14
2006-2010,C91_C95,Leukemia,Cluster_k5,1,Low EQI,1649,20495378,6.7264,0.167,6.4056,7.0591,6.73 ± 0.17
2006-2010,C91_C95,Leukemia,Cluster_k5,2,Medium EQI,30973,393303442,7.0552,0.0403,6.9769,7.1342,7.06 ± 0.04
2006-2010,C91_C95,Leukemia,Cluster_k5,3,High EQI,11524,148681280,7.0491,0.0661,6.921,7.179,7.05 ± 0.07
2006-2010,C91_C95,Leukemia,Cluster_k5,4,Very High EQI,64602,927043681,7.019,0.0278,6.965,7.0734,7.02 ± 0.03
2006-2010,C91_C95,Leukemia,Cluster_k5,National,National,110573,1518958033,7.0051,0.0212,6.9639,7.0466,7.01 ± 0.02
2006-2010,F01,Vascular Dementia (VD),Cluster_k3,0,Low EQI,1843,81106909,2.0973,0.0489,2.0026,2.1953,2.10 ± 0.05
2006-2010,F01,Vascular Dementia (VD),Cluster_k3,1,Medium EQI,12776,428983518,2.5592,0.0227,2.515,2.604,2.56 ± 0.02
2006-2010,F01,Vascular Dementia (VD),Cluster_k3,2,High EQI,31558,1008867606,3.1173,0.0176,3.083,3.1519,3.12 ± 0.02
2006-2010,F01,Vascular Dementia (VD),Cluster_k3,National,National,46177,1518958033,2.8873,0.0135,2.861,2.9137,2.89 ± 0.01
2006-2010,F01,Vascular Dementia (VD),Cluster_k4,0,Very Low EQI,1356,51121576,2.4735,0.0672,2.3436,2.6088,2.47 ± 0.07
2006-2010,F01,Vascular Dementia (VD),Cluster_k4,1,Low EQI,3309,125026104,2.4397,0.0425,2.3573,2.5243,2.44 ± 0.04
2006-2010,F01,Vascular Dementia (VD),Cluster_k4,2,Medium EQI,11792,398153791,2.5351,0.0234,2.4896,2.5813,2.54 ± 0.02
2006-2010,F01,Vascular Dementia (VD),Cluster_k4,3,High EQI,29720,944656562,3.1498,0.0183,3.1141,3.1858,3.15 ± 0.02
2006-2010,F01,Vascular Dementia (VD),Cluster_k4,National,National,46177,1518958033,2.8873,0.0135,2.861,2.9137,2.89 ± 0.01
2006-2010,F01,Vascular Dementia (VD),Cluster_k5,0,Very Low EQI,835,29434252,2.7695,0.0959,2.5848,2.9639,2.77 ± 0.10
2006-2010,F01,Vascular Dementia (VD),Cluster_k5,1,Low EQI,496,20495378,2.0458,0.092,1.8697,2.234,2.05 ± 0.09
2006-2010,F01,Vascular Dementia (VD),Cluster_k5,2,Medium EQI,11908,393303442,2.602,0.0239,2.5554,2.6491,2.60 ± 0.02
2006-2010,F01,Vascular Dementia (VD),Cluster_k5,3,High EQI,3955,148681280,2.4857,0.0396,2.4088,2.5644,2.49 ± 0.04
2006-2010,F01,Vascular Dementia (VD),Cluster_k5,4,Very High EQI,28983,927043681,3.1225,0.0184,3.0867,3.1587,3.12 ± 0.02
2006-2010,F01,Vascular Dementia (VD),Cluster_k5,National,National,46177,1518958033,2.8873,0.0135,2.861,2.9137,2.89 ± 0.01
2006-2010,F03,Unspecified Dementia (UD),Cluster_k3,0,Low EQI,19111,81106909,21.8432,0.1582,21.5346,22.1551,21.84 ± 0.16
