ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_A_Land","-0.48(-2.19,1.30)","-0.90(-2.95,1.19)","0.43(-1.74,2.59)","-0.49(-1.14,0.18)","0.6134","0.3901","1.0012","1.0019",4510,4769,3529,3726,1.0019,1593
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_A_Built","0.04(-2.25,2.36)","-1.43(-3.70,0.94)","0.44(-2.16,3.00)","-0.55(-1.20,0.12)","0.9788","0.2410","1.0021","1.0008",4251,4710,3567,3540,1.0021,1593
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_A_Social","-2.47(-4.62,-0.36)*","1.81(-0.40,4.00)","-0.03(-2.41,2.41)","-0.92(-1.59,-0.24)**","0.0240","0.1181","0.9996","1.0000",5458,5132,3501,3283,1.0007,1593
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_B_EQI","-0.38(-3.09,2.35)","0.97(-1.91,3.85)","0.63(-2.40,3.68)","0.49(-0.43,1.45)","0.7817","0.5068","1.0022","1.0022",3547,3501,2957,3352,1.0058,374
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_B_Air","-0.46(-3.09,2.16)","-2.31(-5.66,1.09)","1.27(-1.84,4.40)","0.47(-0.47,1.41)","0.7171","0.1656","1.0005","1.0013",4153,4719,3778,3788,1.0013,374
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_B_Water","-2.40(-6.38,1.61)","-0.64(-4.64,3.47)","1.07(-1.65,4.01)","0.52(-0.37,1.43)","0.2347","0.7480","1.0000","1.0017",5694,5101,3453,3490,1.0017,374
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_B_Land","-1.88(-5.01,1.25)","-1.09(-3.94,1.70)","1.48(-1.68,4.67)","0.40(-0.54,1.35)","0.2497","0.4330","1.0005","1.0014",4175,3759,3946,3410,1.0014,374
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_B_Built","0.79(-1.95,3.53)","1.34(-1.91,4.51)","-0.11(-3.43,3.31)","0.47(-0.48,1.41)","0.5630","0.3918","1.0016","1.0013",3318,3324,3320,3602,1.0038,374
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_B_Social","0.29(-3.01,3.63)","0.20(-3.52,3.92)","0.46(-3.17,4.06)","0.49(-0.44,1.43)","0.8759","0.9163","1.0011","1.0003",4045,4681,3459,3618,1.0011,374
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_C_EQI","-0.12(-2.39,2.15)","0.56(-2.08,3.21)","2.59(-0.13,5.31)","-0.50(-1.43,0.47)","0.9059","0.6759","1.0004","1.0013",4564,4154,3761,3555,1.0013,1031
